model	image_id	step	true_label	pred	prob_true	margin	loss	linf	attack
clean	cat_0	13	cat	dog	0.0000	-30.8055	30.8055	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	14	cat	dog	0.0000	-31.8273	31.8273	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	15	cat	dog	0.0000	-31.4776	31.4776	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	16	cat	dog	0.0000	-32.6703	32.6703	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	17	cat	dog	0.0000	-32.2822	32.2822	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	18	cat	dog	0.0000	-33.1858	33.1858	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	19	cat	dog	0.0000	-32.9859	32.9859	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	20	cat	dog	0.0000	-33.1779	33.1779	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	21	cat	dog	0.0000	-33.4138	33.4138	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	22	cat	dog	0.0000	-33.6415	33.6415	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	23	cat	dog	0.0000	-33.3514	33.3514	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	24	cat	dog	0.0000	-33.6046	33.6046	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	25	cat	dog	0.0000	-33.2924	33.2924	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	26	cat	dog	0.0000	-34.0923	34.0923	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	27	cat	dog	0.0000	-33.6352	33.6352	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	28	cat	dog	0.0000	-34.2806	34.2806	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	29	cat	dog	0.0000	-33.9197	33.9197	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	30	cat	dog	0.0000	-34.5732	34.5732	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	31	cat	dog	0.0000	-33.9543	33.9543	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	32	cat	dog	0.0000	-34.6544	34.6544	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	33	cat	dog	0.0000	-34.7932	34.7932	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	34	cat	dog	0.0000	-35.0615	35.0615	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	35	cat	dog	0.0000	-34.2085	34.2085	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	36	cat	dog	0.0000	-35.1596	35.1596	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	37	cat	dog	0.0000	-34.7166	34.7166	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	38	cat	dog	0.0000	-35.1770	35.1770	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	39	cat	dog	0.0000	-34.3289	34.3289	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	40	cat	dog	0.0000	-35.6635	35.6635	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	41	cat	dog	0.0000	-34.5146	34.5146	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	42	cat	dog	0.0000	-35.6019	35.6019	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	43	cat	dog	0.0000	-34.6475	34.6475	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	44	cat	dog	0.0000	-35.3302	35.3302	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	45	cat	dog	0.0000	-35.4721	35.4721	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	46	cat	dog	0.0000	-35.4540	35.4540	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	47	cat	dog	0.0000	-34.9984	34.9984	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	48	cat	dog	0.0000	-35.5341	35.5341	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	49	cat	dog	0.0000	-34.7135	34.7135	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	50	cat	dog	0.0000	-35.5865	35.5865	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	51	cat	dog	0.0000	-34.9293	34.9293	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	52	cat	dog	0.0000	-35.8269	35.8269	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	53	cat	dog	0.0000	-34.9622	34.9622	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	54	cat	dog	0.0000	-35.9876	35.9876	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	55	cat	dog	0.0000	-34.9001	34.9001	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	56	cat	dog	0.0000	-36.0635	36.0635	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	57	cat	dog	0.0000	-34.9010	34.9010	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	58	cat	dog	0.0000	-35.8349	35.8349	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	59	cat	dog	0.0000	-34.9358	34.9358	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	60	cat	dog	0.0000	-36.0585	36.0585	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	61	cat	dog	0.0000	-35.0750	35.0750	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	62	cat	dog	0.0000	-35.9795	35.9795	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	63	cat	dog	0.0000	-35.0421	35.0421	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	64	cat	dog	0.0000	-35.8681	35.8681	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	65	cat	dog	0.0000	-34.9487	34.9487	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	66	cat	dog	0.0000	-36.2915	36.2915	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	67	cat	dog	0.0000	-35.0700	35.0700	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	68	cat	dog	0.0000	-36.0612	36.0612	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	69	cat	dog	0.0000	-34.9517	34.9517	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	70	cat	dog	0.0000	-35.8206	35.8206	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	71	cat	dog	0.0000	-35.2175	35.2175	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	72	cat	dog	0.0000	-36.0909	36.0909	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	73	cat	dog	0.0000	-35.3914	35.3914	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	74	cat	dog	0.0000	-35.9130	35.9130	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	75	cat	dog	0.0000	-35.3728	35.3728	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	76	cat	dog	0.0000	-35.9019	35.9019	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	77	cat	dog	0.0000	-35.1999	35.1999	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	78	cat	dog	0.0000	-36.1574	36.1574	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	79	cat	dog	0.0000	-35.3579	35.3579	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	80	cat	dog	0.0000	-36.4049	36.4049	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	81	cat	dog	0.0000	-35.4324	35.4324	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	82	cat	dog	0.0000	-36.4607	36.4607	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	83	cat	dog	0.0000	-35.3744	35.3744	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	84	cat	dog	0.0000	-36.4636	36.4636	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	85	cat	dog	0.0000	-35.6623	35.6623	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	86	cat	dog	0.0000	-36.4507	36.4507	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	87	cat	dog	0.0000	-35.6513	35.6513	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	88	cat	dog	0.0000	-36.4734	36.4734	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	89	cat	dog	0.0000	-35.9990	35.9990	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	90	cat	dog	0.0000	-36.6093	36.6093	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	91	cat	dog	0.0000	-35.6533	35.6533	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	92	cat	dog	0.0000	-36.6844	36.6844	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	93	cat	dog	0.0000	-35.5825	35.5825	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	94	cat	dog	0.0000	-36.8237	36.8237	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	95	cat	dog	0.0000	-35.4506	35.4506	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	96	cat	dog	0.0000	-36.4267	36.4267	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	97	cat	dog	0.0000	-35.4576	35.4576	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	98	cat	dog	0.0000	-36.2951	36.2951	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	99	cat	dog	0.0000	-35.7111	35.7111	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	100	cat	dog	0.0000	-36.7052	36.7052	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	0	cat	cat	0.9997	8.5635	0.0003	0.00000	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	1	cat	dog	0.1871	-1.2301	1.6763	0.00784	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	2	cat	dog	0.0010	-6.9286	6.9551	0.01569	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	3	cat	dog	0.0000	-12.7188	12.7191	0.02353	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	4	cat	dog	0.0000	-17.2490	17.2490	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	5	cat	dog	0.0000	-20.1742	20.1742	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	6	cat	dog	0.0000	-21.8499	21.8499	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	7	cat	dog	0.0000	-24.1445	24.1445	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	8	cat	dog	0.0000	-24.8253	24.8253	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	9	cat	dog	0.0000	-25.4455	25.4455	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	10	cat	dog	0.0000	-24.4663	24.4663	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	11	cat	dog	0.0000	-27.1490	27.1490	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	12	cat	dog	0.0000	-26.8427	26.8427	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	13	cat	dog	0.0000	-28.1541	28.1541	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	14	cat	dog	0.0000	-27.5233	27.5233	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	15	cat	dog	0.0000	-28.6561	28.6561	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	16	cat	dog	0.0000	-28.1694	28.1694	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	17	cat	dog	0.0000	-29.1617	29.1617	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	18	cat	dog	0.0000	-28.7376	28.7376	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	19	cat	dog	0.0000	-29.9270	29.9270	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	20	cat	dog	0.0000	-29.0510	29.0510	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	21	cat	dog	0.0000	-29.9970	29.9970	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	22	cat	dog	0.0000	-29.2858	29.2858	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	23	cat	dog	0.0000	-30.0857	30.0857	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	24	cat	dog	0.0000	-29.7986	29.7986	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	25	cat	dog	0.0000	-30.4538	30.4538	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	26	cat	dog	0.0000	-29.8234	29.8234	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	27	cat	dog	0.0000	-30.3171	30.3171	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	28	cat	dog	0.0000	-29.3513	29.3513	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	29	cat	dog	0.0000	-31.1006	31.1006	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	30	cat	dog	0.0000	-30.1858	30.1858	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	31	cat	dog	0.0000	-31.7983	31.7983	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	32	cat	dog	0.0000	-30.6863	30.6863	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	33	cat	dog	0.0000	-31.4588	31.4588	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	34	cat	dog	0.0000	-31.6619	31.6619	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	35	cat	dog	0.0000	-31.1899	31.1898	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	36	cat	dog	0.0000	-31.3554	31.3554	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	37	cat	dog	0.0000	-31.6116	31.6116	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	38	cat	dog	0.0000	-31.1484	31.1484	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	39	cat	dog	0.0000	-31.7612	31.7612	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	40	cat	dog	0.0000	-31.6283	31.6283	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	41	cat	dog	0.0000	-31.7298	31.7298	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	42	cat	dog	0.0000	-32.0208	32.0208	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	43	cat	dog	0.0000	-31.7319	31.7319	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	44	cat	dog	0.0000	-31.6676	31.6676	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	45	cat	dog	0.0000	-31.8111	31.8111	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	46	cat	dog	0.0000	-31.2123	31.2123	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	47	cat	dog	0.0000	-32.2389	32.2389	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	48	cat	dog	0.0000	-31.7973	31.7973	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	49	cat	dog	0.0000	-32.2416	32.2416	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	50	cat	dog	0.0000	-31.0964	31.0964	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	51	cat	dog	0.0000	-32.1256	32.1256	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	52	cat	dog	0.0000	-32.2195	32.2195	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	53	cat	dog	0.0000	-32.0052	32.0052	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	54	cat	dog	0.0000	-31.7365	31.7365	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	55	cat	dog	0.0000	-31.6409	31.6409	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	56	cat	dog	0.0000	-32.0347	32.0347	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	57	cat	dog	0.0000	-31.7297	31.7297	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	58	cat	dog	0.0000	-32.3446	32.3446	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	59	cat	dog	0.0000	-31.6731	31.6731	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	60	cat	dog	0.0000	-32.2359	32.2359	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	61	cat	dog	0.0000	-31.9647	31.9647	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	62	cat	dog	0.0000	-32.3131	32.3130	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	63	cat	dog	0.0000	-31.8026	31.8026	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	64	cat	dog	0.0000	-32.3268	32.3268	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	65	cat	dog	0.0000	-31.7346	31.7346	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	66	cat	dog	0.0000	-32.7674	32.7674	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	67	cat	dog	0.0000	-31.8944	31.8944	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	68	cat	dog	0.0000	-32.1353	32.1353	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	69	cat	dog	0.0000	-32.3614	32.3615	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	70	cat	dog	0.0000	-31.9016	31.9016	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	71	cat	dog	0.0000	-32.4821	32.4821	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	72	cat	dog	0.0000	-31.5538	31.5538	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	73	cat	dog	0.0000	-32.5829	32.5829	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	74	cat	dog	0.0000	-32.8123	32.8123	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	75	cat	dog	0.0000	-32.3688	32.3688	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	76	cat	dog	0.0000	-32.0686	32.0686	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	77	cat	dog	0.0000	-32.3412	32.3412	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	78	cat	dog	0.0000	-32.5635	32.5635	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	79	cat	dog	0.0000	-32.3897	32.3897	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	80	cat	dog	0.0000	-32.2019	32.2019	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_1	81	cat	dog	0.0000	-32.1244	32.1244	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
